Date,Boingo Wireless
2010-07-01,93
2010-07-02,95
2010-07-03,96
2010-07-04,96
2010-07-05,99
2010-07-06,90
2010-07-07,90
2010-07-08,87
2010-07-09,86
2010-07-10,84
2010-07-11,84
2010-07-12,90
2010-07-13,85
2010-07-14,86
2010-07-15,89
2010-07-16,86
2010-07-17,87
2010-07-18,96
2010-07-19,84
2010-07-20,83
2010-07-21,81
2010-07-22,80
2010-07-23,81
2010-07-24,78
2010-07-25,79
2010-07-26,85
2010-07-27,81
2010-07-28,85
2010-07-29,83
2010-07-30,88
2010-07-31,90
2010-08-01,88
2010-08-02,96
2010-08-03,92
2010-08-04,94
2010-08-05,102
2010-08-06,98
2010-08-07,104
2010-08-08,98
2010-08-09,96
2010-08-10,94
2010-08-11,97
2010-08-12,91
2010-08-13,90
2010-08-14,88
2010-08-15,88
2010-08-16,95
2010-08-17,89
2010-08-18,90
2010-08-19,99
2010-08-20,91
2010-08-21,100
2010-08-22,90
2010-08-23,94
2010-08-24,87
2010-08-25,87
2010-08-26,90
2010-08-27,83
2010-08-28,82
2010-08-29,83
2010-08-30,87
2010-08-31,89
2010-09-01,88
2010-09-02,90
2010-09-03,97
2010-09-04,94
2010-09-05,101
2010-09-06,87
2010-09-07,84
2010-09-08,83
2010-09-09,78
2010-09-10,75
2010-09-11,72
2010-09-12,74
2010-09-13,74
2010-09-14,73
2010-09-15,73
2010-09-16,74
2010-09-17,77
2010-09-18,75
2010-09-19,77
2010-09-20,83
2010-09-21,82
2010-09-22,85
2010-09-23,86
2010-09-24,91
2010-09-25,91
2010-09-26,90
2010-09-27,89
2010-09-28,95
2010-09-29,87
2010-09-30,86
2010-10-01,85
2010-10-02,85
2010-10-03,85
2010-10-04,85
2010-10-05,78
2010-10-06,79
2010-10-07,74
2010-10-08,72
2010-10-09,70
2010-10-10,73
2010-10-11,70
2010-10-12,73
2010-10-13,75
2010-10-14,70
2010-10-15,72
2010-10-16,72
2010-10-17,73
2010-10-18,73
2010-10-19,74
2010-10-20,76
2010-10-21,83
2010-10-22,79
2010-10-23,81
2010-10-24,81
2010-10-25,80
2010-10-26,75
2010-10-27,79
2010-10-28,71
2010-10-29,69
2010-10-30,68
2010-10-31,68
2010-11-01,70
2010-11-02,73
2010-11-03,70
2010-11-04,70
2010-11-05,78
2010-11-06,72
2010-11-07,72
2010-11-08,76
2010-11-09,72
2010-11-10,74
2010-11-11,76
2010-11-12,73
2010-11-13,74
2010-11-14,79
2010-11-15,74
2010-11-16,80
2010-11-17,75
2010-11-18,78
2010-11-19,75
2010-11-20,76
2010-11-21,79
2010-11-22,74
2010-11-23,78
2010-11-24,73
2010-11-25,80
2010-11-26,72
2010-11-27,72
2010-11-28,74
2010-11-29,70
2010-11-30,73
2010-12-01,73
2010-12-02,68
2010-12-03,72
2010-12-04,67
2010-12-05,68
2010-12-06,68
2010-12-07,71
2010-12-08,69
2010-12-09,69
2010-12-10,72
2010-12-11,71
2010-12-12,71
2010-12-13,73
2010-12-14,71
2010-12-15,74
2010-12-16,71
2010-12-17,71
2010-12-18,72
2010-12-19,76
2010-12-20,75
2010-12-21,83
2010-12-22,79
2010-12-23,86
2010-12-24,85
2010-12-25,85
2010-12-26,86
2010-12-27,89
2010-12-28,90
2010-12-29,98
2010-12-30,93
2010-12-31,100
2011-01-01,97
2011-01-02,97
2011-01-03,94
2011-01-04,88
2011-01-05,86
2011-01-06,83
2011-01-07,81
2011-01-08,81
2011-01-09,77
2011-01-10,84
2011-01-11,77
2011-01-12,84
2011-01-13,77
2011-01-14,77
2011-01-15,77
2011-01-16,80
2011-01-17,77
2011-01-18,81
2011-01-19,78
2011-01-20,83
2011-01-21,79
2011-01-22,80
2011-01-23,78
2011-01-24,79
2011-01-25,73
2011-01-26,71
2011-01-27,69
2011-01-28,71
2011-01-29,65
2011-01-30,69
2011-01-31,65
2011-02-01,65
2011-02-02,67
2011-02-03,66
2011-02-04,66
2011-02-05,67
2011-02-06,68
2011-02-07,68
2011-02-08,65
2011-02-09,69
2011-02-10,64
2011-02-11,63
2011-02-12,66
2011-02-13,63
2011-02-14,62
2011-02-15,64
2011-02-16,62
2011-02-17,63
2011-02-18,62
2011-02-19,62
2011-02-20,65
2011-02-21,64
2011-02-22,66
2011-02-23,67
2011-02-24,70
2011-02-25,70
2011-02-26,76
2011-02-27,71
2011-02-28,74
2011-03-01,69
2011-03-02,75
2011-03-03,68
2011-03-04,67
2011-03-05,74
2011-03-06,67
2011-03-07,76
2011-03-08,69
2011-03-09,71
2011-03-10,71
2011-03-11,76
2011-03-12,73
2011-03-13,72
2011-03-14,74
2011-03-15,70
2011-03-16,70
2011-03-17,69
2011-03-18,68
2011-03-19,72
2011-03-20,70
2011-03-21,75
2011-03-22,75
2011-03-23,78
2011-03-24,80
2011-03-25,88
2011-03-26,87
2011-03-27,84
2011-03-28,82
2011-03-29,83
2011-03-30,78
2011-03-31,79
2011-04-01,74
2011-04-02,73
2011-04-03,73
2011-04-04,75
2011-04-05,73
2011-04-06,76
2011-04-07,74
2011-04-08,74
2011-04-09,77
2011-04-10,75
2011-04-11,72
2011-04-12,71
2011-04-13,69
2011-04-14,68
2011-04-15,66
2011-04-16,65
2011-04-17,65
2011-04-18,68
2011-04-19,68
2011-04-20,67
2011-04-21,69
2011-04-22,69
2011-04-23,69
2011-04-24,71
2011-04-25,74
2011-04-26,70
2011-04-27,70
2011-04-28,71
2011-04-29,75
2011-04-30,72
2011-05-01,73
2011-05-02,75
2011-05-03,77
2011-05-04,78
2011-05-05,86
2011-05-06,83
2011-05-07,91
2011-05-08,81
2011-05-09,84
2011-05-10,76
2011-05-11,74
2011-05-12,74
2011-05-13,69
2011-05-14,67
2011-05-15,67
2011-05-16,68
2011-05-17,67
2011-05-18,77
2011-05-19,68
2011-05-20,70
2011-05-21,73
2011-05-22,68
2011-05-23,68
2011-05-24,74
2011-05-25,68
2011-05-26,68
2011-05-27,68
2011-05-28,68
2011-05-29,71
2011-05-30,67
2011-05-31,72
2011-06-01,66
2011-06-02,71
2011-06-03,66
2011-06-04,66
2011-06-05,65
2011-06-06,64
2011-06-07,63
2011-06-08,66
2011-06-09,63
2011-06-10,61
2011-06-11,65
2011-06-12,64
2011-06-13,68
2011-06-14,71
2011-06-15,78
2011-06-16,80
2011-06-17,82
2011-06-18,87
2011-06-19,87
2011-06-20,89
2011-06-21,91
2011-06-22,104
2011-06-23,94
2011-06-24,97
2011-06-25,98
2011-06-26,94
2011-06-27,97
2011-06-28,86
2011-06-29,83
2011-06-30,78
2011-07-01,74
2011-07-02,73
2011-07-03,69
2011-07-04,72
2011-07-05,68
2011-07-06,70
2011-07-07,67
2011-07-08,70
2011-07-09,66
2011-07-10,67
2011-07-11,66
2011-07-12,70
2011-07-13,66
2011-07-14,66
2011-07-15,69
2011-07-16,66
2011-07-17,70
2011-07-18,67
2011-07-19,69
2011-07-20,72
2011-07-21,69
2011-07-22,72
2011-07-23,74
2011-07-24,71
2011-07-25,69
2011-07-26,72
2011-07-27,68
2011-07-28,67
2011-07-29,68
2011-07-30,66
2011-07-31,68
2011-08-01,67
2011-08-02,72
2011-08-03,69
2011-08-04,76
2011-08-05,71
2011-08-06,72
2011-08-07,72
2011-08-08,73
2011-08-09,79
2011-08-10,74
2011-08-11,79
2011-08-12,76
2011-08-13,79
2011-08-14,76
2011-08-15,76
2011-08-16,77
2011-08-17,75
2011-08-18,74
2011-08-19,74
2011-08-20,74
2011-08-21,74
2011-08-22,74
2011-08-23,75
2011-08-24,72
2011-08-25,74
2011-08-26,74
2011-08-27,71
2011-08-28,73
2011-08-29,69
2011-08-30,72
2011-08-31,68
2011-09-01,68
2011-09-02,71
2011-09-03,67
2011-09-04,66
2011-09-05,69
2011-09-06,66
2011-09-07,64
2011-09-08,66
2011-09-09,64
2011-09-10,63
2011-09-11,66
2011-09-12,65
2011-09-13,66
2011-09-14,72
2011-09-15,68
2011-09-16,74
2011-09-17,70
2011-09-18,71
2011-09-19,68
2011-09-20,71
2011-09-21,66
2011-09-22,65
2011-09-23,67
2011-09-24,64
2011-09-25,66
2011-09-26,62
2011-09-27,61
2011-09-28,64
2011-09-29,60
2011-09-30,58
2011-10-01,57
2011-10-02,57
2011-10-03,59
2011-10-04,59
2011-10-05,59
2011-10-06,62
2011-10-07,66
2011-10-08,62
2011-10-09,63
2011-10-10,62
2011-10-11,62
2011-10-12,66
2011-10-13,63
2011-10-14,63
2011-10-15,65
2011-10-16,66
2011-10-17,61
2011-10-18,61
2011-10-19,60
2011-10-20,59
2011-10-21,57
2011-10-22,56
2011-10-23,56
2011-10-24,58
2011-10-25,59
2011-10-26,58
2011-10-27,59
2011-10-28,62
2011-10-29,63
2011-10-30,61
2011-10-31,61
2011-11-01,63
2011-11-02,63
2011-11-03,62
2011-11-04,63
2011-11-05,67
2011-11-06,62
2011-11-07,63
2011-11-08,60
2011-11-09,61
2011-11-10,59
2011-11-11,62
2011-11-12,58
2011-11-13,59
2011-11-14,63
2011-11-15,63
2011-11-16,69
2011-11-17,67
2011-11-18,69
2011-11-19,71
2011-11-20,69
2011-11-21,68
2011-11-22,73
2011-11-23,66
2011-11-24,65
2011-11-25,66
2011-11-26,63
2011-11-27,64
2011-11-28,64
2011-11-29,69
2011-11-30,65
2011-12-01,65
2011-12-02,66
2011-12-03,75
2011-12-04,66
2011-12-05,66
2011-12-06,68
2011-12-07,65
2011-12-08,65
2011-12-09,67
2011-12-10,67
2011-12-11,64
2011-12-12,63
2011-12-13,69
2011-12-14,61
2011-12-15,60
2011-12-16,59
2011-12-17,61
2011-12-18,60
2011-12-19,61
2011-12-20,62
2011-12-21,63
2011-12-22,66
2011-12-23,65
2011-12-24,70
2011-12-25,66
2011-12-26,66
2011-12-27,69
2011-12-28,68
2011-12-29,65
2011-12-30,65
2011-12-31,66
2012-01-01,64
2012-01-02,69
2012-01-03,63
2012-01-04,63
2012-01-05,64
2012-01-06,62
2012-01-07,64
2012-01-08,63
2012-01-09,62
2012-01-10,62
2012-01-11,63
2012-01-12,63
2012-01-13,65
2012-01-14,67
2012-01-15,62
2012-01-16,62
2012-01-17,58
2012-01-18,56
2012-01-19,54
2012-01-20,54
2012-01-21,51
2012-01-22,51
2012-01-23,55
2012-01-24,51
2012-01-25,51
2012-01-26,51
2012-01-27,53
2012-01-28,51
2012-01-29,56
2012-01-30,52
2012-01-31,59
2012-02-01,54
2012-02-02,55
2012-02-03,57
2012-02-04,57
2012-02-05,56
2012-02-06,56
2012-02-07,61
2012-02-08,55
2012-02-09,57
2012-02-10,57
2012-02-11,55
2012-02-12,56
2012-02-13,57
2012-02-14,58
2012-02-15,59
2012-02-16,60
2012-02-17,64
2012-02-18,64
2012-02-19,61
2012-02-20,62
2012-02-21,59
2012-02-22,60
2012-02-23,57
2012-02-24,56
2012-02-25,55
2012-02-26,59
2012-02-27,56
2012-02-28,58
2012-02-29,58
2012-03-01,59
2012-03-02,60
2012-03-03,61
2012-03-04,67
2012-03-05,60
2012-03-06,60
2012-03-07,61
2012-03-08,60
2012-03-09,60
2012-03-10,61
2012-03-11,60
2012-03-12,64
2012-03-13,60
2012-03-14,61
2012-03-15,64
2012-03-16,61
2012-03-17,62
2012-03-18,63
2012-03-19,62
2012-03-20,67
2012-03-21,62
2012-03-22,68
2012-03-23,62
2012-03-24,66
2012-03-25,61
2012-03-26,60
2012-03-27,63
2012-03-28,58
2012-03-29,58
2012-03-30,56
2012-03-31,55
2012-04-01,56
2012-04-02,58
2012-04-03,61
2012-04-04,61
2012-04-05,63
2012-04-06,65
2012-04-07,70
2012-04-08,66
2012-04-09,67
2012-04-10,64
2012-04-11,67
2012-04-12,63
2012-04-13,62
2012-04-14,65
2012-04-15,62
2012-04-16,62
2012-04-17,64
2012-04-18,62
2012-04-19,62
2012-04-20,62
2012-04-21,64
2012-04-22,63
2012-04-23,63
2012-04-24,64
2012-04-25,64
2012-04-26,63
2012-04-27,70
2012-04-28,64
2012-04-29,63
2012-04-30,66
2012-05-01,63
2012-05-02,64
2012-05-03,64
2012-05-04,64
2012-05-05,68
2012-05-06,68
2012-05-07,66
2012-05-08,67
2012-05-09,72
2012-05-10,68
2012-05-11,69
2012-05-12,72
2012-05-13,70
2012-05-14,70
2012-05-15,72
2012-05-16,70
2012-05-17,70
2012-05-18,70
2012-05-19,79
2012-05-20,68
2012-05-21,71
2012-05-22,67
2012-05-23,64
2012-05-24,65
2012-05-25,62
2012-05-26,68
2012-05-27,60
2012-05-28,60
2012-05-29,60
2012-05-30,64
2012-05-31,59
2012-06-01,59
2012-06-02,59
2012-06-03,59
2012-06-04,59
2012-06-05,64
2012-06-06,60
2012-06-07,60
2012-06-08,65
2012-06-09,61
2012-06-10,61
2012-06-11,64
2012-06-12,62
2012-06-13,62
2012-06-14,66
2012-06-15,63
2012-06-16,65
2012-06-17,64
2012-06-18,65
2012-06-19,66
2012-06-20,66
2012-06-21,70
2012-06-22,67
2012-06-23,68
2012-06-24,70
2012-06-25,69
2012-06-26,68
2012-06-27,68
2012-06-28,68
2012-06-29,69
2012-06-30,69
